state,date,Modal price (Average)
HR,08-01-10,813.5
HR,09-01-10,1300.5
HR,10-01-10,1672
HR,11-01-10,1872.5
HR,12-01-10,2635.5
HR,01-01-11,2928.5
HR,02-01-11,1301
HR,03-01-11,815.5
HR,04-01-11,673
HR,05-01-11,598.5
HR,06-01-11,613.5
HR,07-01-11,775
HR,08-01-11,1165
HR,09-01-11,1237
HR,10-01-11,1174
HR,11-01-11,1030
HR,12-01-11,775
HR,01-01-12,545.5
HR,02-01-12,507
HR,03-01-12,556
HR,04-01-12,568.5
HR,05-01-12,501
HR,06-01-12,604.5
HR,07-01-12,680
HR,08-01-12,748.5
HR,09-01-12,730.5
HR,10-01-12,772
HR,11-01-12,1314
HR,12-01-12,1495
HR,01-01-13,1524.5
HR,02-01-13,1638
HR,03-01-13,1100
HR,04-01-13,982
HR,05-01-13,961.5
HR,06-01-13,1250.5
HR,07-01-13,2198.5
HR,08-01-13,3885.5
HR,09-01-13,4508
HR,10-01-13,4821
HR,11-01-13,3781.5
HR,12-01-13,2587
HR,01-01-14,1733
HR,02-01-14,1029
HR,03-01-14,1151
HR,04-01-14,1122.5
HR,05-01-14,1027
HR,06-01-14,1305
HR,07-01-14,1960
HR,08-01-14,1775
HR,09-01-14,1748.5
HR,10-01-14,1722.5
HR,11-01-14,1720
HR,12-01-14,1619
HR,01-01-15,1509.5
HR,02-01-15,1605.5
HR,03-01-15,1583
HR,04-01-15,1279.5
HR,05-01-15,1269.5
HR,06-01-15,1766.5
HR,07-01-15,2297
HR,08-01-15,4120
HR,09-01-15,4755.5
HR,10-01-15,3556.5
HR,11-01-15,2638
HR,12-01-15,1536.5
HR,01-01-16,1197
HR,02-01-16,947
HR,03-01-16,900
JH,01-01-05,568
JH,02-01-05,493
JH,03-01-05,454
JH,04-01-05,442
JH,05-01-05,454
JH,06-01-05,486
JH,07-01-05,543
JH,08-01-05,556
JH,09-01-05,753
JH,10-01-05,1086
JH,11-01-05,1379
JH,12-01-05,1183
JH,01-01-06,864
JH,02-01-06,475
JH,03-01-06,451
JH,04-01-06,374
JH,05-01-06,368
JH,06-01-06,436
JH,07-01-06,451
JH,08-01-06,483
JH,09-01-06,475
JH,10-01-06,466
JH,11-01-06,656
JH,12-01-06,795
JH,01-01-07,1070
JH,02-01-07,1238
JH,03-01-07,980
JH,04-01-07,650
JH,05-01-07,548
JH,06-01-07,719
JH,07-01-07,989
